ears,1278968
cart,1279112
pavement,1279114
stairs,1279129
hood,1279136
purse,1279139
street light,1279333
statue,1279478
steps,1279479
eye,1279481
crack,1279520
sheep,1279529
toilet,1279604
faucet,1279610
zebra,1279693
branch,1279697
finger,1279744
pan,1279749
distance,1279760
dish,1279769
coat,1280102
snowboard,1280103
hill,1280104
goggles,1280105
banner,1280106
snow,1280110
pants,1280111
tip,1280112
gloves,1280113
ground,1280114
boots,1280115
hat,1280116
sky,1280120
shadow,1280121
ocean,1280388
beach,1280390
surfboard,1280392
strap,1280393
leg,1280394
foot,1280396
cord,1280398
box,1280399
wave,1280401
waves,1280404
feet,1280405
sand,1280406
rock,1280408
clouds,1280409
ripples,1280410
structure,1280468
pot,1280541
donut,1280820
socks,1280834
legs,1280835
ball,1280836
post,1280837
field,1280838
shoe,1280840
boy,1280841
building,1280847
sneakers,1280852
bag,1280855
pole,1280856
men,1280858
shoes,1280863
railing,1280879
tusk,1280943
tie,1280999
door,1281000
knob,1281003
vest,1281005
beard,1281007
mirror,1281008
reflection,1281012
wall,1281013
camera,1281015
button,1281016
horse,1281088
rope,1281095
mane,1281096
sweater,1281098
neck,1281099
bottle,1281105
sidewalk,1281109
sign,1281115
chain,1281140
jeans,1281141
frisbee,1281142
grass,1281143
dog,1281146
collar,1281147
tail,1281148
trees,1281155
blinds,1281175
column,1281178
wetsuit,1281205
bridge,1281217
design,1281223
path,1281225
belt,1281714
trash can,1281883
train,1282076
engine,1282089
gravel,1282095
rocks,1282173
graffiti,1282292
bananas,1282295
bicycle,1282545
number,1282549
balcony,1282551
wire,1282553
window,1282558
light,1282559
bush,1282561
plant,1282565
sock,1282567
seat,1282568
television,1282622
curtains,1282631
spectator,1282725
leaf,1282731
cat,1282994
laptop,1283000
screen,1283002
paw,1283005
keyboard,1283006
lid,1283238
spoon,1283241
fork,1283242
banana,1283569
cow,1283820
van,1283825
stove,1283906
kitchen,1283915
tile,1283918
sink,1283929
child,1284058
girl,1284059
helmet,1284066
skis,1284070
fire hydrant,1284290
curb,1284313
boot,1284315
tree trunk,1284636
lettering,1285104
bench,1285136
sandwich,1285137
bowl,1285139
sauce,1285140
meat,1285145
vehicle,1285536
jersey,1285792
cup,1285794
cloth,1285810
poster,1285817
tag,1285819
skateboard,1286086
wheels,1286087
rug,1286088
buttons,1286100
pocket,1286102
tennis ball,1286122
tree,1286125
string,1286126
arrow,1286276
word,1286429
monitor,1287043
rack,1287162
bar,1287165
tv,1287167
towel,1287168
ceiling,1287171
refrigerator,1287172
napkin,1287173
pillar,1287248
board,1287481
arms,1287486
band,1287491
paper,1287769
onion,1287772
counter,1287787
platform,1288373
painting,1288445
cabinets,1288448
curtain,1288455
bat,1288575
catcher,1288576
umpire,1288578
river,1289185
outlet,1289728
shade,1289774
buildings,1289808
boats,1289809
name,1289810
stop sign,1290335
mug,1290695
duck,1290815
beak,1290816
mouse,1292052
computer,1292074
giraffe,1292077
horn,1292086
weeds,1294110
horses,1294162
poles,1294561
wires,1294745
fruit,1294866
horns,1296228
air,1297257
surface,1297398
handles,1297404
carrot,1297423
jar,1297424
bathroom,1297559
microwave,1298156
knife,1298175
bun,1301520
watch,1301528
shadows,1301850
pillows,1302457
hot dog,1302755
square,1303127
paint,1304636
broccoli,1305469
controller,1307086
vegetables,1308550
whiskers,1308881
giraffes,1314232
motorcycle,1317425
ski pole,1325558
tracks,1325568
teddy bear,1326725
apple,1333793
handle,1366574
picture,1366579
hole,1366588
skirt,1762519
racket,2230933
floor,2337307
court,2374085
wood,2689719
logo,2978386
star,2978390
guy,3201507
house,3509009
top,3515082
cows,3831125
suitcase,3843449
doorway,3843459
backpack,3843462
luggage,3843465
part,3843737
rail,3843757
ski,3843760
skier,3843762
traffic light,3843884
necklace,3843897
background,3843899
dress,3843900
head,3843903
signs,3844009
corner,3844043
circle,3844045
chair,3844046
skateboarder,3844094
elephants,3844289
elephant,3844309
shore,3844512
concrete,3844565
birds,3844948
lamp,3844978
sneaker,3845002
desk,3845005
zebras,3845504
tomato,3845750
player,4047973
pattern,4048011
dirt,4048019
glove,4048024
train car,4059368
a,4117169
animal,4117399
this,4179724
the,4179734
train tracks,4235482
baby,4290743
plate,4446778
